               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10927,            0.040931,            0.030285,             0.37416,            0.064379,            0.032317,            0.008029,            0.082808,            0.035146,            0.021849,            0.070556,           0.0032716,           0.0032716
                   1,            0.085614,            0.036454,            0.019527,             0.82479,             0.16824,             0.14958,            0.047882,            0.069926,             0.02582,            0.019068,            0.040338,            0.006387,            0.006387
                   2,            0.079057,            0.031957,            0.016934,              0.4997,             0.34081,             0.16748,             0.05143,            0.073629,            0.022687,            0.015215,           0.0098996,           0.0092823,           0.0092823
                   3,            0.070175,            0.030903,            0.014034,             0.58475,             0.37847,             0.30646,             0.10498,            0.052638,             0.02364,            0.011539,             0.00901,             0.00901,             0.00901
                   4,            0.058374,            0.029969,            0.010968,             0.71546,             0.44469,             0.44155,             0.16813,            0.059427,            0.021051,           0.0097655,             0.00901,             0.00901,             0.00901
                   5,            0.051017,            0.027889,           0.0095193,             0.87747,             0.45659,             0.53299,             0.20553,            0.048382,            0.020143,           0.0093588,             0.00868,             0.00868,             0.00868
                   6,            0.046951,            0.027974,           0.0091124,             0.89869,             0.49279,             0.56719,             0.26256,             0.03933,             0.01929,           0.0093204,             0.00835,             0.00835,             0.00835
                   7,            0.044159,            0.025518,           0.0088845,             0.88981,             0.51988,             0.60229,              0.3275,            0.037065,              0.0189,           0.0079083,             0.00802,             0.00802,             0.00802
                   8,             0.04216,            0.027401,           0.0075859,             0.88897,             0.52249,             0.64945,             0.36469,            0.033784,            0.018526,           0.0073524,             0.00769,             0.00769,             0.00769
                   9,            0.037131,            0.025143,           0.0073608,              0.9197,             0.55724,             0.66524,             0.39331,            0.029862,            0.017623,           0.0066952,             0.00736,             0.00736,             0.00736
                  10,            0.037899,            0.025842,           0.0065752,             0.91027,             0.55356,             0.66314,             0.39284,            0.029147,            0.017585,           0.0067476,             0.00703,             0.00703,             0.00703
                  11,            0.036238,            0.024809,            0.006808,             0.92354,             0.56253,             0.64863,             0.37862,            0.029162,            0.017451,           0.0061223,              0.0067,              0.0067,              0.0067
                  12,            0.034506,            0.023549,           0.0068415,             0.92034,             0.55981,             0.65156,             0.39464,            0.028041,            0.016975,            0.005913,             0.00637,             0.00637,             0.00637
                  13,            0.033666,             0.02424,           0.0069172,              0.9308,             0.56106,             0.69307,             0.42724,            0.026489,            0.016773,            0.005791,             0.00604,             0.00604,             0.00604
                  14,            0.032749,            0.024121,            0.006346,             0.92794,             0.56366,             0.69222,             0.39891,            0.029125,            0.017017,           0.0055882,             0.00571,             0.00571,             0.00571
                  15,            0.032124,            0.024088,           0.0059311,             0.92841,             0.58114,             0.69473,             0.43827,            0.024679,             0.01637,           0.0050499,             0.00538,             0.00538,             0.00538
                  16,            0.031042,            0.023422,           0.0056364,              0.5428,             0.75075,              0.7284,             0.46902,             0.02499,            0.016263,           0.0049353,             0.00505,             0.00505,             0.00505
                  17,            0.030229,            0.023596,           0.0054293,             0.54373,             0.74861,              0.7333,             0.46445,            0.026198,            0.016256,            0.004736,             0.00472,             0.00472,             0.00472
                  18,            0.028675,            0.022732,            0.005448,             0.58748,             0.75889,             0.76526,             0.50837,            0.023349,            0.015899,           0.0045418,             0.00439,             0.00439,             0.00439
                  19,            0.028988,            0.022459,           0.0052801,             0.58474,             0.77792,             0.76271,             0.49781,             0.02328,            0.015906,           0.0044857,             0.00406,             0.00406,             0.00406
                  20,            0.027967,            0.021961,           0.0050044,             0.68382,             0.76435,             0.79999,             0.52022,            0.023366,            0.015915,           0.0042299,             0.00373,             0.00373,             0.00373
                  21,            0.028317,            0.023034,           0.0054342,             0.69669,             0.76275,             0.78189,             0.52752,            0.022559,            0.015621,           0.0041714,              0.0034,              0.0034,              0.0034
                  22,            0.026771,            0.022415,           0.0048182,             0.76529,             0.75997,             0.81052,             0.55119,            0.022291,            0.015542,           0.0038626,             0.00307,             0.00307,             0.00307
                  23,            0.026496,            0.021533,           0.0043332,             0.78252,             0.76008,             0.81856,             0.56209,            0.021305,            0.015194,           0.0037574,             0.00274,             0.00274,             0.00274
                  24,            0.025863,             0.02194,           0.0044816,             0.79701,             0.77932,             0.82621,             0.57094,            0.020932,             0.01518,           0.0037022,             0.00241,             0.00241,             0.00241
                  25,            0.025942,            0.021208,           0.0045891,             0.79524,             0.77759,             0.83099,             0.57571,            0.020772,            0.015178,           0.0034851,             0.00208,             0.00208,             0.00208
                  26,            0.025678,            0.021565,           0.0042735,             0.81866,             0.78501,             0.83677,             0.57729,            0.020869,            0.015094,           0.0033149,             0.00175,             0.00175,             0.00175
                  27,            0.025209,            0.021526,           0.0039134,             0.83678,             0.78837,             0.84233,             0.58659,            0.020541,            0.015016,           0.0032355,             0.00142,             0.00142,             0.00142
                  28,            0.025427,            0.022488,           0.0039921,             0.80997,             0.78825,             0.83724,             0.58924,            0.020358,            0.014894,           0.0031818,             0.00109,             0.00109,             0.00109
                  29,            0.025617,            0.022306,           0.0041569,             0.81076,             0.78568,             0.84368,             0.59497,            0.020251,              0.0149,           0.0030623,             0.00076,             0.00076,             0.00076
